"","tile","band","increment","decrease","average_difference","avg_abs_diff","avg_differece_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"1","55HEV","B02",0,"True",0,0,0,0,1,0,"55HEV_original",2020
"2","55HEV","B08",0.05,"False",-3.68219516872776,3.81141115822424,-49.9404860692236,54.0816512554827,0.873442411478136,3.51314839791075,"55HEV_B08_05_I",2020
"3","49UCP","B02",0.05,"True",1.64778152314782,1.79066767040304,58.5692674901802,63.1603504308441,0.954452868175288,1.84905464975187,"49UCP_B02_05_D",2020
"4","55HEV","B02",0.05,"True",2.24350309008494,2.50004192162791,26.2278188655765,32.0565262349781,0.958714777545803,2.40734901594191,"55HEV_B02_05_D",2020
"5","49UCP","B03",0.05,"True",-1.23296998549677,2.17167547559735,-51.1075838366791,66.8072124735269,0.821747567903179,3.09391249017321,"49UCP_B03_05_D",2020
"6","55HEV","B03",0.05,"True",-0.288225087756039,1.85128348678616,10.7601188595779,31.3920510612742,0.945196503251421,2.35725815671478,"55HEV_B03_05_D",2020
"7","49UCP","B04",0.05,"True",-2.61407952634539,2.77948933239742,-63.2778211048627,75.9743284269139,0.724616166084809,3.58948962650934,"49UCP_B04_05_D",2020
"8","55HEV","B04",0.05,"True",-2.13780947604317,3.67086665014765,-33.7670620041454,64.6779214774174,0.827023240387484,4.44446406500254,"55HEV_B04_05_D",2020
"9","49UCP","B08",0.05,"True",2.82038541970816,3.06232804939346,77.1751923231439,80.6554424820005,0.899445176126803,2.87167348021695,"49UCP_B08_05_D",2020
"10","55HEV","B08",0.05,"True",0.188776981327678,1.15552073068591,3.33384149456581,18.0994192107087,0.974479941249378,1.63135347792188,"55HEV_B08_05_D",2020
"11","49UCP","B02",0.1,"False",0.042213613904531,1.3445749291946,8.90825467005373,46.4324909552735,0.925404156908702,2.0933656299605,"49UCP_B02_10_I",2020
"12","49UCP","B02",0,"True",0,0,0,0,1,0,"49UCP_original",2020
"13","55HEV","B02",0.1,"False",-0.29830177495529,2.33858725994581,-2.96322199809323,37.0862461841178,0.917257967606323,2.9727590968001,"55HEV_B02_10_I",2020
"14","49UCP","B03",0.1,"False",0.795057987785288,1.64280944239527,4.28318931784109,43.8318586627884,0.916736548461122,2.57330489581531,"49UCP_B03_10_I",2020
"15","55HEV","B03",0.1,"False",-2.58316260923455,3.13877965393071,-22.4100954981548,47.4922988659861,0.871831383652466,3.53205513652816,"55HEV_B03_10_I",2020
"16","49UCP","B04",0.1,"False",-1.13540362286816,1.52105798796815,-17.4363830390618,45.1881917605723,0.90504277944512,2.20238477797488,"49UCP_B04_10_I",2020
"17","55HEV","B04",0.1,"False",1.70333267956601,2.32717148787677,29.5351493055431,35.9272641094925,0.946957311132449,2.43465737641435,"55HEV_B04_10_I",2020
"18","49UCP","B08",0.1,"False",1.54914837407931,2.40252072359019,71.1061767536377,80.3787425255943,0.879491700633724,2.46921728262482,"49UCP_B08_10_I",2020
"19","55HEV","B08",0.1,"False",-3.89313104242844,4.04304554211694,-41.2378426544395,51.1745703484597,0.892283860203782,3.47854333521667,"55HEV_B08_10_I",2020
"20","49UCP","B02",0.1,"True",-1.35964708300482,2.1591644670141,-43.0357088820593,63.239667690999,0.812136654633347,3.04567828999013,"49UCP_B02_10_D",2020
"21","55HEV","B02",0.1,"True",1.25702998033725,2.6356544134957,-0.791810729660633,36.6149840704243,0.948633701917406,3.2822788840211,"55HEV_B02_10_D",2020
"22","49UCP","B03",0.1,"True",-0.682612694284035,1.60711467352875,-19.3961050360503,47.7484808784109,0.885780198816071,2.42708435741202,"49UCP_B03_10_D",2020
"23","49UCP","B02",0.05,"False",-1.00507496342649,1.57897174061966,5.11566618319789,51.5633578200072,0.902275191062652,2.29382863789234,"49UCP_B02_05_I",2020
"24","55HEV","B03",0.1,"True",-1.06738203550211,2.48479554670362,8.42828536267743,41.1549416594366,0.927650153117091,2.8428207632622,"55HEV_B03_10_D",2020
"25","49UCP","B04",0.1,"True",-0.837589093399257,1.65471505734146,-3.44907626818871,48.6294520056676,0.869616786373819,2.56962073227969,"49UCP_B04_10_D",2020
"26","55HEV","B04",0.1,"True",2.43595291755264,2.74717517143004,40.3045358968307,42.966075609919,0.950023631092963,2.28419289258851,"55HEV_B04_10_D",2020
"27","49UCP","B08",0.1,"True",2.69136093821152,3.0205736256816,83.417997301239,86.9119792204363,0.900612371503893,2.26196190598383,"49UCP_B08_10_D",2020
"28","55HEV","B08",0.1,"True",-2.15660531855109,2.6733542480367,-36.1912041409933,47.2532130424252,0.924256306895115,2.75517512796392,"55HEV_B08_10_D",2020
"29","49UCP","B02",0.15,"False",0.578549429601683,1.50888322237179,30.7643728087324,57.5202460688133,0.922152310886822,2.06908586246049,"49UCP_B02_15_I",2020
"30","55HEV","B02",0.15,"False",2.82655761666163,3.51725277471152,31.6364264842549,42.2903182392402,0.94060876652642,3.28314528233217,"55HEV_B02_15_I",2020
"31","49UCP","B03",0.15,"False",0.652974455049934,1.9014149260152,25.8361583396315,55.0430413521045,0.873985717926702,2.96447268147202,"49UCP_B03_15_I",2020
"32","55HEV","B03",0.15,"False",-2.14215772386665,3.19064997664032,-3.40223350911043,44.1925806105172,0.9304940323171,3.18704412726774,"55HEV_B03_15_I",2020
"33","49UCP","B04",0.15,"False",-0.825110675134675,1.85458009468946,1.66234719405012,49.6072164052654,0.830535098533777,2.89139551785086,"49UCP_B04_15_I",2020
"34","55HEV","B02",0.05,"False",-1.14011338941523,2.66928771221544,-20.8989511893509,45.6438593713316,0.900881215399923,3.3125413761952,"55HEV_B02_05_I",2020
"35","55HEV","B04",0.15,"False",1.00902997966857,3.99210363029763,-5.1253475839854,54.9477271633597,0.886164416732052,4.98347044929913,"55HEV_B04_15_I",2020
"36","49UCP","B08",0.15,"False",4.3059727149131,4.62175684458822,97.0267516054962,99.9925848281198,0.840925072718867,2.78583934619549,"49UCP_B08_15_I",2020
"37","55HEV","B08",0.15,"False",1.146679893579,1.80015663668768,23.3452573280569,32.1423920026014,0.957446113072194,2.08754941574822,"55HEV_B08_15_I",2020
"38","49UCP","B02",0.15,"True",0.140808528985307,1.45779075391298,17.3355616952308,52.4457510610534,0.916425320898181,2.06377677591358,"49UCP_B02_15_D",2020
"39","55HEV","B02",0.15,"True",1.2420509743759,2.92381510802645,32.1726857652008,45.870200564481,0.878663849853616,3.44314200406445,"55HEV_B02_15_D",2020
"40","49UCP","B03",0.15,"True",-0.647790732551818,1.66870719242733,1.7388186613698,47.0038609967722,0.858134900429421,2.64108284288425,"49UCP_B03_15_D",2020
"41","55HEV","B03",0.15,"True",-1.76718712981366,2.95943767596291,1.65682605583807,44.3132224432984,0.926541105534071,3.06023982333526,"55HEV_B03_15_D",2020
"42","49UCP","B04",0.15,"True",-1.14037307711198,1.66529281420544,-8.77849360634332,50.6933017014181,0.879444818899143,2.46258336211075,"49UCP_B04_15_D",2020
"43","55HEV","B04",0.15,"True",1.67890401794418,2.78475072470588,23.7009143574757,42.1098662766671,0.929076530219198,3.09738460386571,"55HEV_B04_15_D",2020
"44","49UCP","B08",0.15,"True",7.262578826119,7.30103786242818,112.516590234774,112.890956028891,0.811793456958639,3.02496753040705,"49UCP_B08_15_D",2020
"45","49UCP","B03",0.05,"False",-0.345887294200054,1.5910793723206,-21.3514193980058,45.656894516484,0.887905872818,2.54598581081848,"49UCP_B03_05_I",2020
"46","55HEV","B08",0.15,"True",-4.23705189024917,4.47179204365032,-49.649800395501,58.4208127213158,0.885967250193217,3.8868362503557,"55HEV_B08_15_D",2020
"47","49UCP","B02",0.2,"False",3.325225372942,3.5599538309637,89.3023906908692,91.1415080581784,0.894019834590229,2.41424084965119,"49UCP_B02_20_I",2020
"48","55HEV","B02",0.2,"False",3.58715208883256,3.80901311238812,28.6859628718191,42.3927269727384,0.943860184037765,3.24289714771236,"55HEV_B02_20_I",2020
"49","49UCP","B03",0.2,"False",0.392479464379733,1.76937439795495,3.60897882636741,52.4168040208511,0.876323174227058,2.73538023341046,"49UCP_B03_20_I",2020
"50","55HEV","B03",0.2,"False",-2.44777950569423,3.52742577592102,-3.81139855754938,46.9882579978489,0.92614213764915,3.50053391699804,"55HEV_B03_20_I",2020
"51","49UCP","B04",0.2,"False",-1.56052965975416,2.40323761917191,-37.7498281738325,61.5532418404755,0.75447606163603,3.45901757273427,"49UCP_B04_20_I",2020
"52","55HEV","B04",0.2,"False",4.82095371766187,4.8643769514547,58.4930025532526,58.8799920059109,0.940423225012972,2.47617490865859,"55HEV_B04_20_I",2020
"53","49UCP","B08",0.2,"False",7.8933402153403,8.47009583091361,110.971239311627,115.908366094849,0.436249192462579,5.12769470766047,"49UCP_B08_20_I",2020
"54","55HEV","B08",0.2,"False",-0.429600163122817,2.49220450382299,12.3321700986012,39.2731789935445,0.910684967604651,3.17847651718995,"55HEV_B08_20_I",2020
"55","49UCP","B02",0.2,"True",2.73137731964668,2.87182977384189,81.2217450312028,82.3637298294817,0.928707298689295,2.05897840691427,"49UCP_B02_20_D",2020
"56","55HEV","B03",0.05,"False",-1.50660545855453,2.44854379075746,-19.2120235532682,43.253400150745,0.916282610576586,2.94159458045401,"55HEV_B03_05_I",2020
"57","55HEV","B02",0.2,"True",4.7226110784181,4.73936715852732,51.9998349027221,52.5323522022032,0.951459916894433,2.80356699811584,"55HEV_B02_20_D",2020
"58","49UCP","B03",0.2,"True",-0.850865754210333,1.78903851187402,-19.3719224627581,52.6047031734262,0.845795692478823,2.75558064321009,"49UCP_B03_20_D",2020
"59","55HEV","B03",0.2,"True",-2.94241383404527,3.60620155071157,-17.5514489416768,43.8340818082247,0.920300374949588,3.49474075710247,"55HEV_B03_20_D",2020
"60","49UCP","B04",0.2,"True",-0.659226543217875,1.23644302795462,9.14408123899119,44.6689421728628,0.941015790111011,1.79611759382897,"49UCP_B04_20_D",2020
"61","55HEV","B04",0.2,"True",0.585279987870269,3.4333071199524,3.95986839403187,50.2683657398252,0.878837362556725,4.24608848349119,"55HEV_B04_20_D",2020
"62","49UCP","B08",0.2,"True",9.08895700781743,9.24362309656352,119.82053008356,120.926524932326,0.640368760316742,4.06826852543078,"49UCP_B08_20_D",2020
"63","55HEV","B08",0.2,"True",1.21606422906603,2.29863159799136,30.2515162519774,38.7112996893088,0.930223184878688,2.71208807066937,"55HEV_B08_20_D",2020
"64","49UCP","B02",0.25,"False",2.86239549581017,3.43996584441512,82.9358809467415,88.7359219702395,0.842585369439805,2.897636140639,"49UCP_B02_25_I",2020
"65","55HEV","B02",0.25,"False",3.65906202791936,3.79802747268752,44.0698558253118,47.076304891135,0.937228552365346,2.94738776273521,"55HEV_B02_25_I",2020
"66","49UCP","B03",0.25,"False",0.319117676259909,1.5240877655204,31.1734240761434,49.9171736109805,0.899924213541684,2.24279890496333,"49UCP_B03_25_I",2020
"67","49UCP","B04",0.05,"False",-0.529360415286936,1.5612350685161,24.1835739724428,57.6954000820145,0.895607172938974,2.33461062448654,"49UCP_B04_05_I",2020
"68","55HEV","B03",0.25,"False",-2.54666163880173,3.52262719344125,-2.55430704484412,47.0701579209855,0.935778093591781,3.5525483659324,"55HEV_B03_25_I",2020
"69","49UCP","B04",0.25,"False",-0.782760798622559,1.6275446142221,16.1392086927757,55.3516935425421,0.879802290623515,2.4774038336447,"49UCP_B04_25_I",2020
"70","55HEV","B04",0.25,"False",3.48842576492971,3.64640631849329,51.9734683125623,53.0180596825973,0.942088831892612,2.60074248253551,"55HEV_B04_25_I",2020
"71","49UCP","B08",0.25,"False",10.199928430962,10.5400765376278,117.403737565601,121.240228986555,0.280126120819539,6.13735733928301,"49UCP_B08_25_I",2020
"72","55HEV","B08",0.25,"False",-0.388927583240092,3.45549619456015,10.0953473844285,48.1160859755111,0.815021231164631,4.26448360361764,"55HEV_B08_25_I",2020
"73","49UCP","B02",0.25,"True",1.36417717054743,1.81016204204005,62.1662490842941,67.1814188886659,0.930013699862845,1.95682323947821,"49UCP_B02_25_D",2020
"74","55HEV","B02",0.25,"True",3.96910078045442,4.17436244417258,34.1041962776429,44.6993497043115,0.945625691759829,3.3328429616622,"55HEV_B02_25_D",2020
"75","49UCP","B03",0.25,"True",0.322952728087701,2.36651771397691,14.0534822456957,59.1166422319785,0.770885538903447,3.74246198277347,"49UCP_B03_25_D",2020
"76","55HEV","B03",0.25,"True",-2.56868782462776,3.8181757568116,-2.11636227932444,51.699101982277,0.922121452550492,3.770281466172,"55HEV_B03_25_D",2020
"77","49UCP","B04",0.25,"True",-0.984015151032189,1.86738595381203,10.8009553441281,57.1965648373076,0.827944260021243,2.94145338993212,"49UCP_B04_25_D",2020
"78","55HEV","B04",0.05,"False",0.564674356380143,1.69410556669152,24.5672884834717,33.6836746390556,0.955739126062292,2.15746517289239,"55HEV_B04_05_I",2020
"79","55HEV","B04",0.25,"True",0.420933975086826,3.55133875680203,0.768654403692161,48.019674148267,0.883229845505782,4.59209785895365,"55HEV_B04_25_D",2020
"80","49UCP","B08",0.25,"True",8.90190886757802,9.10480462170449,117.006128657419,119.606509903616,0.628933050309833,4.18744724485435,"49UCP_B08_25_D",2020
"81","55HEV","B08",0.25,"True",-0.0129133157608813,3.94032376234971,21.5205240007656,51.9247557297696,0.734903327640192,4.89457431641952,"55HEV_B08_25_D",2020
"82","49UCP","B08",0.05,"False",0.888683847585594,1.54228643718356,56.6588882270288,65.568461926771,0.940637395250028,1.74696318569661,"49UCP_B08_05_I",2020
