"tile","band","increment","decrease","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"49UCP","B08",0,"True",0,0,0,0,1,0,"49UCP_original","2020"
"49UCP","B08",0.05,"False",3.32030124259712,3.34995602218678,116.625361048558,117.181579560333,0.826896801348441,2.87187451996362,"49UCP_B08_05_I","2020"
"49UCP","B08",0.05,"True",1.07925083626251,1.23403940675712,37.9210597409001,48.3976044931361,0.923382883411743,1.76289318398185,"49UCP_B08_05_D","2020"
"49UCP","B08",0.1,"False",6.7581401385864,6.79380373844119,135.861267188419,136.275730429543,0.620500397248013,4.48261961549225,"49UCP_B08_10_I","2020"
"49UCP","B08",0.1,"True",6.35390952457092,6.39541054006148,142.181049447989,142.670542111042,0.734279940037439,3.85449906357113,"49UCP_B08_10_D","2020"
"49UCP","B08",0.15,"False",9.74308860619436,9.75739064437427,149.277428920108,149.415883559416,0.516951788699252,4.39018980442158,"49UCP_B08_15_I","2020"
"49UCP","B08",0.15,"True",8.68842272274816,8.86765833772768,145.051057581883,146.644740080479,0.290961263259051,4.55557020817936,"49UCP_B08_15_D","2020"
"49UCP","B08",0.2,"False",11.7787354828354,11.8031939310227,155.270582004206,155.50724661416,0.46568742537725,3.91472112754577,"49UCP_B08_20_I","2020"
"49UCP","B08",0.2,"True",10.8527930297911,10.8966874929137,152.516142015386,152.838362094506,0.35154692405848,4.23676280580086,"49UCP_B08_20_D","2020"
"49UCP","B08",0.25,"False",11.4701974502036,11.5078491841736,153.186549812127,153.481657453908,0.367837955187423,3.74497222596539,"49UCP_B08_25_I","2020"
"49UCP","B08",0.25,"True",14.2286871139318,14.2679089515432,156.8139580172,157.088783623468,0.119834708046601,6.07983719674464,"49UCP_B08_25_D","2020"
